"","id","Rodovia","SNV","Km","Lado","Tipo","P_constr","N_Pessoas","UN_ID","Ocup_2000","Ocup_2010","Ocup_2018","UN_ORIG_FI","n","distance","feature_x","feature_y","xcoord","ycoord","zcoord","mvalue"
"966","F2836",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3181,1,5.92402009367742,832057.859992929,9074904.67231352,-35.9854045445709,-8.35753944547077,-999999,0
"967","F3030",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2808,1,0.622698314319092,836498.715853214,9064079.89849513,-35.9443609666274,-8.45500437886423,-999999,0
"968","F3031",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2736,1,8.44579288290163,836864.956796912,9063465.3623284,-35.9409946744823,-8.46052912229721,-999999,0
"969","F151",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,686,1,9.96474389769384,832963.405954311,9085104.94227896,-35.9778974031912,-8.26534024503896,-999999,0
"970","F440",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1673,1,2.23021407841297,832495.0037847,9083084.41062066,-35.9820057375679,-8.28362340508678,-999999,0
"971","F441",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1672,1,0.320874329130073,832496.871186715,9083091.67446336,-35.9819893039697,-8.28355766410992,-999999,0
"972","F442",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1666,1,3.22262291085671,832498.066803954,9083101.29505386,-35.981979124579,-8.28347068119346,-999999,0
"973","F3032",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1667,1,1.48275184975571,832507.48687485,9083102.4214925,-35.9818937792413,-8.28345985994788,-999999,0
"974","F443",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1656,1,2.06005565720426,832514.877086312,9083102.92700338,-35.9818267982768,-8.2834547866841,-999999,0
"975","F444
Residencial",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1658,1,1.69665723964907,832519.660171915,9083103.15775376,-35.9817834402816,-8.28345237416118,-999999,0
"976","F448",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1652,1,1.78709919546302,832532.536705745,9083134.61617769,-35.981668840637,-8.28316733298092,-999999,0
"977","F449",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1648,1,1.71364754250154,832545.036977206,9083148.59157913,-35.9815564487475,-8.2830402382496,-999999,0
"978","F450",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1643,1,2.58827245018426,832555.951302349,9083159.89823345,-35.9814582547045,-8.28293735859144,-999999,0
"979","F451",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1635,1,3.38482705010024,832562.722372449,9083168.37197776,-35.9813974372698,-8.28286035234345,-999999,0
"980","F452",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1638,1,2.77518011632581,832569.396169538,9083169.51511521,-35.9813369969309,-8.28284956864628,-999999,0
