cod;id;Ocup_2000;Ocup_2010;Ocup_2018;xcoord;ycoord;NM_MU;CODMU;COD_1;COD_UF;UF;COD_2;ANO;IVS_2000;IVS_INF_00;IVS_CPH_00;IVS_REN_00;IVS_2010;IVS_INF_10;IVS_CPH_10;IVS_REN_10;fid;MASC;FEM;POP;DOM_OCU;area;perimeter;URB_RURAL;Dens_Dom;Dens_hab;MRT;VTN_MED;VTN_MIN;VTN_MAX;IDEX
68;F1100;1;0;0;-36,0575209035;-8,0102874782;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
69;F1101;1;0;0;-36,0575256429;-8,0102509023;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
70;F1102;1;0;0;-36,0575410228;-8,0102206279;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
71;F1103;1;0;0;-36,0575499657;-8,01019234;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
72;F1104;1;0;0;-36,0574039426;-8,0101750822;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
73;F1106;1;0;0;-36,0573909213;-8,010009001;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
74;F1108;1;0;0;-36,0575996017;-8,0100351688;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
75;F1109;1;0;0;-36,0576159192;-8,0099840628;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
76;F1110;1;0;0;-36,0576319897;-8,0099360618;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
77;F1111;1;0;0;-36,0576479549;-8,0098871718;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
78;F1114;1;0;0;-36,0576745937;-8,0098055094;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
79;F1115;1;0;0;-36,0576876629;-8,0097675343;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
80;F1116;1;0;0;-36,0577005507;-8,0097333451;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
81;F1117;1;0;0;-36,0577317585;-8,0096905332;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
82;F1119;1;0;0;-36,05766669;-8,0096802861;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
83;F1120;1;0;0;-36,0576277296;-8,0096845393;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
84;F1121;1;0;0;-36,057593165;-8,0096848702;TORITAMA;2615409;261540;26;Pernambuco;2615409;2000;0,428;0,069;0,748;0,466;0,362;0,112;0,595;0,379;914;258;296;554;168;40080,5428466797;800,8697137305;1;0,004;0,0138221681;MRT IV;5105,25;1578,52;8631,99;139
